текст,inf_gender1,inf_gender2,inf_gender3,inf_gender4,sob_gender1,sob_gender2,sob_gender3,sob_gender4,mean_ul,mean_sl
"А житники - те из житной муки, пекли из жита. [А из овсяной мало пекли, только клали в квашню,
когда ржаную... А то блины пекли из овсяной муки, блины да кисель варили. [А из гороха пекли?] Из гороха пекли гороховики [Как?] Как, намелют да натропаем, когда это, зимой дак на снегу тропали, чтобы рохляе было, на снегу натропаем - они рохлые испекутся. [А как они выглядели?] А какие испекёшь, на сковородках, дак на сковородках такие круглые... Наливки пекли, как, наливки пекли. [Как они выглядели?] ...Ну круглые такие наливки, пекли. [А Вы говорили, кудри приносили на свадьбу?] Ну, кудри это в масле пекли. Масло кипит и наскут там сочней, таких тоненьких соченьков, и в вот в масле и пекли, они там в масле сделаются такие кудри. [А тетёрки пекли?] Тетёрки пекли. [А когда?] А и всегда пекли, тетёрки, пекли этого, у, нас мама дак всё время пекла тетёрки, наскёт, мы любили их, она наскёт всякие.",f,,,,m,m,f,,16.75,10.307692307692308
"[Хлеб из ячменной муки] Житники назывались. Из ячменя - значит житники. А из гороха тоже 
пекли. Пекли такими круглыми каравайчиками, я 
вот запомнила с детства, и делали оладьи из гороховой муки. Вот оладьи эти делали просто на... снег брали, брали снег, ложили муку и вот так всё время мешали, мешали, и вот такие вкусные были оладьи, такие олашки из гороховой муки.",f,,,,f,f,,,56.0,9.333333333333334
"Ржаной хлеб называли каравай, из ячменя, жита... житник, пекли наливки. [Какой формы?] Круглый, житник поменьше немножко. [Маленькие булочки пекли?] Пекли. [Как назывались?] Пышки [...] Обрядовые такие [хлеба] пекли, вот, например, тетёрки на сорок святых носили двадцать второва марта зятьям носили тетёрки [...] на Пасху пекли разные пироги обычные. [Выпекали хлеб для скота?] Да, выпекали, там ходил пастух накануне выгона собирал у коров [...] шерсть и запекали туда. Этот хлеб надо скормить скоту [...] как оберег какой-то, штоб летом там, слова видимо говорили, пастух сам занимался этим, ходил, а пекли хозяйки, потом давали где-нибудь съесть скоту штоб там Бог или кто берёг скот. [Это в первый выгон?] В первый день выгона. [Когда бывает выгон?] Около первова июня, сейчас раньше, пораньше было.",f,,,,f,f,,,7.636363636363637,6.461538461538462
Тетёрки раньше делали изо ржаной муки [...] фигуринками [пекли],f,,,,f,f,,,4.0,4.0
"Наливки пекли, пекли калитки. [и] Калитки, пироги, шаньги. [Шаньги] Ну, теперь называют блинами. Блины пекли овсяные. Тетёрку-то? Делали. Это обычно когда зимой, там бывает говенье, там не едят ничево. В это время пекли.",f,,,,m,f,,,32.0,4.0
"[Переворачивать хлеб коркой вниз можно?] Дак это и всю жисть говорят, как хлеб-то перевернёшь, ведь наопашку он будет... ну кверху дак неудобно ведь, грех, говорили. [Почему?] А не знаю.",f,,,,m,m,f,,8.0,8.0
"[Можно ли не доедать хлеб?] [Говорили], што если оставишь кусок, дак мама помрёт.",f,,,,f,f,,,4.0,8.0
"[Можно не доедать хлеб?] Нас всё раньше мать уговаривала, што кусочек оставите, дак останетесь от родителей рано.",f,,,,f,f,,,6.5,13.0
"Есть, говорят, в душе верят в Бога, а на языке верят в чёрта. То и другого. Так вот, может ли нет, в того и другого верить - ведь нельзя. С лесным знаешься - с Богом нельзя. Потому что Бог не простит.",f,,,,f,f,,,40.0,8.0
Богов много и у кажного свое имя.,f,,,,f,f,,,7.0,7.0
"[Что делать грех?] Матюгаца грех, оскорблять человека грех, вымогательством занимаца грех, жить неправдой грех. Самый великий смертный грех - врать, обманывать, блядовать, воровать.",m,,,,f,f,,,9.5,9.5
"Праздник Троица, Единосущная Богородица.",f,,,,f,f,,,4.0,4.0
"Рождество Христово. [Это Христос родился?] Да. [Кто такой Христос?] Христос дак Христос. [А Христос это Бог?] Да. Вот и теперь Рождество справляют тожо. [Где он родился?] Не знаю, Бог его знает.",f,,,,f,f,,,3.6,3.0
"Так утром стану да говорю: 
""Господи, спаси и сохрани на сёднишний денёк Господний. Меня и моих детушек"". 
Особо вот, когда выходишь куда, это вот надо говорить. Обязательно. Открываешь вот, пошёл и говоришь.",f,,,,m,m,f,,35.0,7.0
"Господь благослови на это местечко легти. На этом местечке Пресвята Богородица Исуса Христа родила. Родила она и блаословила крестом. И он с этим крестом пошёл, от окошек, ото дверей, от косяков, от чцетырёх стен, углов. Всех врагов прогоню. Кыш! Амин.

Это - когда ложишься куда- или в чужих хоромах, пришёл в общежитие - пьяниц много или чево - надо вынить и прочитать или в уме держать.",f,,,,m,f,,,66.0,8.25
"[А есть ли в доме хозяин?]
Есть хозяин и хозяйка. По-моему, оне вдвоём должны быть: если хозяин, так и хозяйка должна быть.",f,,,,f,f,,,8.5,8.5
"[Какое дерево сажали возле дома?] Берёзу. [Ёлки не сажали?] Ёлка по противопожарной безопасности не подходит, редко у кого. Там сажали больше этот, лиственницу.",m,,,,m,f,f,,5.333333333333333,5.333333333333333
"[Приносили на Троицу] берёзу тоже, да. [Когда?] Так вот, когда она распустится, тогда.",f,,,,f,f,,,3.0,6.0
"Берёзу перед Троицей ставили к окнам, натащим, у меня два брата было, сходим в лес, тащим мы, и к каждому окну берёзу поставим.",f,,,,f,f,f,,25.0,25.0
"[Как называются два сросшиеся колоса?] Я такое видал, называется, я не знаю, где как, спорина... Два колоса вместе ещё дак это удача значит. [А его хранить надо?] Дак мы, конечно, теперь не храним, ничего не делаем, а раньше вроде так слыхал, что хранили эту, вроде как это там для хлеба, или что. [А где хранили?] Раньше ведь и свои амбары были... Так слыхал, что это хорошо. Такое редко ведь бывает, вот значит два колоса.",m,,,,f,f,,,15.5,10.333333333333334
"Как начал чево-то садить, так ""Господи благослови"" скажешь: ""Подай, Господи, нам - отдадим добрым людям"". Это проговоришь три раза.",f,,,,f,f,f,,18.0,9.0
"[О рыбной ловле] 
Тётка ево [товарища] учила, если не ловица рыба, дак окуривали, жечь дымком. [Что надо жечь?] Верес дак вот, чертей отгонять, [если] рыба не ловица. [...] Не ловица рыба, надо окурица, кааца говорили.",m,,,,f,f,,,5.0,5.0
[Почему осина - плохое дерево?] На осине задавился Иуда - предатель Исуса Христа.,m,,,,m,m,,,3.5,7.0
"[А от Рождества до Крещения время как называлось ?]
Так наверно Святки.
[А накануне Рождества как называлось время ?]
Наверно Сочельник...",f,,,,f,f,,,1.6666666666666667,2.5
"Да гадали [с колечками].
У нас ещо в Архангельске так молодёжь собралась, так начертят тут круг да блюдце, говорят, ходит, а я всё равно не верю...",f,,,,f,,,,25.0,12.5
"Как вот, например, мы выезжаем пахать, пахать - первая полоса - как говорится - первая борозда, что вот, ну, - как вот - надо её спраздновать. Ну вот так вот - отметить. Значит это как вот понимать, что если и нас-вот, вот это сделано, значит у нас всё будет - как говорится, по-маслу пойдёт, да. [А как празднуют?] Ну вот что - мы приедем, на костре чая скипятим там, немножко там бутылочку поставишь, чтобы все трактористы, чтобы все рабочие, все мужчины-то вот так вот [...] Как говорится, с шутками, прибаутками, ну, давайте с Богом пашите, всё будет хорошо - вот так вот у нас.",f,,,,f,f,,,30.666666666666668,18.4
"[Начинали пахать] Во вторник, в четверг. Воскресеньё хороший день, можно.",f,,,,m,m,,,8.0,4.0
"[Во время жатвы] На камень отдыхать седешь - спина заболит, а так не садилися.",f,,,,m,m,,,10.0,10.0
"Загремит, дак кувыркаться, и всё. На первый гром и кувыркались, штобы спина не болела и руки.",f,,,,f,f,,,16.0,8.0
"Борода - так что, последнее, что дак принесут, в квартиру, да поставят, вот перед божницей, и всё. [Долго он стоял там?] Хоть того дольше пускай стоит. [Куда его потом девали?] А потом скоту. [В какой день?] Когда захочешь.",m,,,,f,f,f,,6.5,6.5
"[Бороду делали] а вот последний сноп дожинают и тащат бороду, сноп такой. [И куда его?] Со своего участка, так домой тащат, а в колхозе, дак в контору, в угол ставят.",m,,,,m,m,,,7.5,15.0
Это на какой-то праздник заносили [сноп в дом] и целый год хранили. Но вот на какой - не знаю.,f,,,,f,f,,,15.0,7.5
"При мне уже праздников больших, не было вот, например, урожай соберут, дак все собирались в деревне [...] по-русски называеца пожинаха, што всё уберут, всё сжато.",f,,,,f,f,,,12.0,12.0
"Били там животин в колхозе, делали пожинахи, ну общий праздник, ну там суп, каша, водка.",m,,,,m,f,,,15.0,15.0
"Раньше забудут, вот последний этот пекли вот, скотинку когда выпускают, дак последнюю, кулебашку, скотинка чтоб не скучала, или что.",f,,,,m,,,,19.0,19.0
"[Как иначе назывались насекомые?]
Гнус-то да, есть такой гнус. Но гнус - это мошка, слепни ещё. Вода - вот это гнус.",f,,,,f,f,,,7.5,5.0
"[Как иначе назывались насекомые?]
Ну, гнус, гнус. Мошка, комары.
",f,,,,f,f,,,2.5,2.5
"[Про мелких мошек]
Гнус-то говорили.",f,,,,f,f,,,2.0,2.0
"[Избавлялись от тараканов]
Дак она возьмёт решето, сито - муку сеять в сито вот накрошит брюкву, да картофных очистков, да луку, да кажно места, положит она их на полку, их стольку туда наберетси - ужас. Я думаю - куда она побежала, подол загнёт, это решето в подол складет и побежит. Я грю: ты куда бегала? -Не твоё дело куда бегала, грит, потом уж сказала. У них ворота [...] Она прибежит, ворота откроет, это решето возмет, вытрехнет их всех тараканов-то к самым ко дверям, к избе. Откуда пришли, туды и подьте.",f,,,,f,f,,,42.5,12.142857142857142
"Это бабушка раньше говорила. Какую-то траву она тут вечером собирала. Летом в Иванскую ночь; собирала траву, а в Петров день потом от клопов. Чего она там делала... Выводила... Она ходила по стенам как-то вот махала. Махала по стенам и потом выносила.",f,,,,m,m,,,41.0,5.857142857142857
"[Как бороться с тараканами?]
Если где покойник помрет, говорят, надо в гроб скласть тараканов-то, все куда-то денутся.",f,,,,f,f,,,6.5,13.0
"[От тараканов]
Да, я тоже слыхала, что ложат в коробочек и в гроб кладут. Это слыхала, но я не знаю, как это делается.",f,,,,f,f,,,21.0,10.5
"[божья коровка] счастье приносит, или че там.",m,,,,f,,,,5.0,5.0
"[Дети говорили божьей коровке]
Божья коровка, лети на небо, там твои детки кушают конфетки - или котлетки.",f,,,,f,f,,,12.0,12.0
"[Не говорили, что паук мир сновал?]
Нет, наоборот, он хотел сплести, мне кажется, это все. [нрзб.] Скорее всего, гусеница это. Она шла и пошла. Как, по гусенице щёт. Ну, она куколку дает. Она же плетет ее, плетет, постоянно плетет. Она же жизнь плетет. [...] А потом же из нее и вылетает эта пташка-то, как она называется. Бабочка.",f,,,,f,f,,,12.5,5.555555555555555
"Мне вот муравейник тёща говорила для тараканов [теща - КЗИ из Хотенова] Надо взять красный муравейник [...] Ну я, конечно, не испытывал.",m,,,,m,m,,,6.5,6.5
"А, дак это примета, хороший день на Евдокию, дак весна, трава пойдёт быстро, лето хорошо будет, по заметкам.",m,,,,m,m,,,19.0,19.0
Митрев день. Пятница Паросковея.,f,,,,f,m,,,4.0,2.0
"Здесь праздник был седьмого августа, Макарий. Раньше коров крестили, святой водой прыскали коров. Это батюшка делал, поп.",m,,,,f,,,,17.0,5.666666666666667
"С Троицы и всё лето [заготавливают веники для бани]. Девки говорит, скоро Троица, берёзка листьем кроется.
Настоящие [веники] ломают после Петрова дня. [до Петрова дня они] серянные. Как вот сера на листви. А после Петра дня, 12-ого июля, веники ломают, к зими. Сушат. На лыжку вешают и сушат.",f,,,,f,f,,,40.0,5.0
"[Дом нельзя на месте бани строить?*] Нет, не слыхал [...] как будто нельзя.",m,,,,f,f,,,1.5,3.0
"Вот есть такая примета, что ли. Место какое-то неподходящее для хлева. [У соседей хлев сгорел. Новый поставили во дворе, под крышей]. И у них были всё время какие-то неполадки со скотом. Вынесли этот хлев, как он и раньше был - всё нормально стало.",f,,,,f,,,,32.0,6.4
"[Не клали муравьёв, когда дом строили?]
Ложили, ложили. [Куда?] Вот туда, под фудамент [...] фундамент держат, брёвна ложат, дак вот под это.",m,,,,f,f,,,3.75,5.0
"[Почему нельзя сильно плакать о покойнике?] Дочка умерла единственная, [мать] очень сильно печалилась, всё время плакала. Один раз ей приснилось, что дочь на столе вся сырая стоит, что сколько ты можешь, перестань, я даже не просыхаю. Все время сырая. Женщина рассказывала: вот у нее сорок дней муж умер, он ей тоже приснился, что нечево плакать, нельзя плакать, потому что они там...",f,,,,f,f,,,27.0,13.5
"""Машенька, ты клади мне до сороковово дня крушечку воды да кусок хлеба"". Я хлеба складу на второй день вылью вычищу крушку [нрзб.] опять налью сорок дён. Выкину собакам хлеб и всё. [А куда вы это клали?] Я тут место ей наладила, полотенце послала, сложила(?) на подушечку всё и тут и кусочек хлеба клала и воды в крушечке.",f,,,,f,m,,,17.333333333333332,10.4
"...Заснут и стоят... целу неделю стоит человек вобще в одном положении. Вобще думают, што он мёртвый, подойдут, послушают или зеркало поднесут, а он дышит. [А как просыпаются, не рассказывают, что видели?] Не, не, не
рассказывают.",f,,,,f,m,,,14.5,5.8
[В Иванов день девки] на гумно ходили на гумне пляшут.,f,,,,f,f,,,6.0,6.0
[На Ивандень] Веники ломают и в бане попаряца свежим веничком.,f,,,,f,f,,,8.0,8.0
"[Как можно определить родится мальчик или девочка?] Говорят, что если вперёд, как, острый, то мальчик [...] А девочка в себя так, шире делаешься.",f,,,,f,f,f,,5.333333333333333,8.0
"[Можно ли было беременной ходить на похороны?]
-Нельзя. Нельзя на похороны. Ну я то ходила к деду [нрзб.] Я была. Красный платок одевала на живот булавки пристёгивала.",f,,,,f,f,,,6.666666666666667,4.0
"[Было ли, что кто-нибудь помогал рожать?] Да как не было. По бабкам ходили. Ходили бабки, помогали. [Как?] А я-то как знаю? У меня никто не бывал, дак я не знаю. [...] Я одна дома рожала.",f,,,,f,f,f,,6.75,4.5
"[Младенца оставлять можно одного?] На ночь конечно нет, сама не оставишь.",f,,,,f,f,,,3.5,7.0
[Смерч] Вихорь. Вихорь понёс.,m,,,,m,m,,,4.0,2.0
"[Как примечали, когда кукушка кукует?] Года сколько проживёшь. Дак она детей, грять, кидает сама выведет и улетат.",m,,,,f,f,,,6.5,6.5
"[Про Кирилло-Челмогорский монастырь]
Как был там Кирила Челмогорский ли, как ли. Святой. И вот эти изгнать-то хотели. Труфановцы... Казара-то (деревня Казариновская там, за озером, их так называли: ""Ну, казара!""). И они хотели этова изгнать. Мать где-то там, в Библии, што ли, читала. Есть книги, наверно... Изгнать хотели... Там, гоуорят, пришли - он жил в какой-то там пещере. Пришли, привязали верёвки ли, што ли и вот потащили ево из этой. Верёвка што ли оборвалась. Там они все куда-то упали... Там яма образовалась, и до сих пор эта яма есть. Дна не могут смерять. Вода. И за сосну было уцеплено. Сосна такая низкая, кудрявая. Не растёт вверх.",m,,,,m,m,,,94.0,4.947368421052632
"[Канун Нового года как назывался?]
Да я не знаю. Сочельник ли как ли.",f,,,,f,f,,,4.0,4.0
"Я, грит, на своей памяти какой-то коготь помню, у нас в коробочке он держался, этот коготь. Я, мама, то-ли называли медвежий коготь, и вот не знаю я, для чего он, вот я до сих пор, у ней забыла спросить. И не знаю, для чего, какой амулет это.",f,,,,f,f,,,47.0,15.666666666666666
[Русалки] из воды выходят.,f,,,,f,f,,,3.0,3.0
"Вот мы перешли в этот дом [...] пришёл с гулянки [отец? дядя?] [нрзб.] зашёл только а там подвал дак подполье-то а вот по подполью-то этим и хлыщут камни перебирают перебрат, перекинет мешки, а бабушка [...] скорей по всем углам [нрзб.] зажгла свечку да по всем углам обошёл, Бог хранил, больше не пугал. Это был хозяин. Плохо спросилися наверно.",f,,,,f,f,,,9.166666666666666,7.857142857142857
"[КВП с подругой пошли] за грибами. И чево-то такое ну вот в кустах - писать захотелось - не помню - у меня, или у неё трусы были на левой стороне. Я говорю - вот, хорошо, хоть, что мы не ушли, на левой-то стороне. Вот бы мы ушли-то.",f,,,,f,f,,,39.0,9.75
"[Лесной хозяин называется] леший просто, злая сила. 
[Если человек заблудился, значит] леший водит.",m,,,,f,f,,,6.0,3.0
"У нас бабушка - если кто умрёт, так ей всё приснится.",m,,,,f,f,,,11.0,11.0
"У них в деревне была Елена, по деревне звали Елена Макариха. Так вот, если пошёл в лес и если Макариха посмотрела вслед, со спокойной душой можешь возвращаться. Никакие заговоры ничего не помогут. [Если ты шёл] по грибы, по ягоды. Можешь спокойно возвращаться.",m,,,,f,,,,40.0,8.0
"На Благовещенье птица гнезда не вьёт, красна девица косы не плетёт [...] не работали в этот день.",f,,,,f,f,,,9.0,9.0
Сретьев день.,f,,,,m,f,,,2.0,2.0
"Перед постом... Заговинье это воскресенье называлось перед постом. [...] Севодня вот, например, вот настряпано - поели, если чё осталось, то уже в говенье ево не ели, всё сушили и лежало, пока опять не разговятся. И съедали. Не знаю, это так бабушки говорили. Месная. Вот, например, перед говеньем предпоследняя неделя называется месное говенье, неделя пройдёт, мясо можно есть, потом это говенье, месное, значит всё, мясо прекращаем есть. То молочная, ещё вот эта неделя-то, последняя самая. Воскресенье прошло: всё, молоко больше нельзя есть. Ни масла, ни молока.",f,,,,m,f,,,42.0,8.4
"Сорокосвятых, дак вот Сорокосвятых у нас на Реке празновали. К зятю ходили с тетерьками. Скали тетёрки вот такие, ну всякима фигурками, да всё. Но не одни тетерьки носили. Пирогов напеку, ешчо смеялисе, говорят, иные, которые были побогаче, дак в бучках носили. [...] [Бучок - большой плетеный короб из лучины]. Стряпали раньше всё больше иэо ржаной муки. Ну и из белых, тово, наделают. Вот делали, этово, вечером наскут, ну ведь Сорокосвятых бывает как-то зимой вот, и вынесут на ночь, оно замерзнет, эти перемёрзнут, и они такие вкусные,там што ведь, на молоке нешто, не на воде пекут. А всякима фигурками такие вот круглые сделают, тонко так разоскут, тоньше этово пальца, и вот всяких фигурок наделают, а потом кругом так.",m,,,,m,m,,,56.0,11.2
"Благовещенье - не работать: девица косы не плетёт и в пялах не шьёт, так у их было.",f,,,,f,,,,18.0,18.0
"Ещё в Благовещеньё птичка гнезда не вьёт, а красна дева косы не плетёт в тот день.",f,,,,f,f,,,18.0,18.0
Есть Благовешченьё. [Можно в этот день работать?]. Веть какая работа. На скотном доим корову.,f,,,,m,f,,,4.5,2.25
"А выгоняют в - Благовещенье когды, в который день, в тот день не выгоняют, если Благовещенье в четверг, так значит в среду в четверг не выгоняют, а в воскресенье выгоняют.",f,,,,m,f,,,29.0,29.0
"Красная девица косы не плетёт в Благовешченьё, птичка гнёздышка не вьёт, а красная девушка косы не плетёт.",f,,,,f,m,,,21.0,21.0
"[По какой птице определяют, что весна пришла?]
Не знаю, говорят, скворец.",f,,,,m,f,,,2.0,4.0
"Дак уж весна, дак иногда скажеш, эти прилетели жировы, а ещё снегу много.",f,,,,m,f,,,13.0,13.0
"Вербно воскресенье перед Пасхой ходили за вербушкой, утром идут до обеда",m,,,,f,m,,,11.0,11.0
"Вербушку собирают в Вербное воскресенье, перед Паской. Вот воскресенье, а следующее воскресенье будет Паска.",f,,,,f,f,,,14.0,7.0
"Дак чцё, в Вербное воскресенье ходили за вербушками. Потом коров выгонеют с этими вербушками. Под божницу кладали. Безо всяких лепачков. [Потом] туды на пастбишче кинут, да и всё.",f,,,,f,m,,,27.0,5.4
"Катали раньше яйца в доме, мужики собирались [на Пасху].",f,,,,f,f,,,7.0,7.0
"[Яйца на Пасху] катали. Вот у нас тут два дома больших было, вот там катали, я видывала. [Кто катал?] Да все катали и взрослые и дети.",f,,,,f,f,,,3.5,7.0
"[На Пасху] Там вот это бывает яйцами стукаюца, стукаюца яйцами. [Как?] Это вот так вот берут вот один человек берёт яйцо в руку и другой и стукаюца [на весу]",m,,,,f,f,,,8.5,17.0
"Яйца варили, вечером печку топили, печку истопим, всево настряпаем, яиц накрасим. Вот больше мужики, яиц накрасят, вот делали горки и выкатывали яйца, горки специально, как катаюца яики катать, кто выкатат больше. Вот кажный накладёт по корзинке яйца, пойдут в Пасху катать яйцы. Другой едва домой принесёт, а другой все прокатает. Я не знаю, как они катали. [Бились яйцами:] Нет, пошто? Не били. Принесут, другой не одну корзину домой выкатаит, а другой наперетке придет, прокатает все.",f,,,,f,,,,75.0,9.375
"Раньше деревянные делали яйца, ходили по деревне, ходили выбивали, друг у друга, сосед приходит: ""Христос воскрес!""- говорит, похристосуетца, с ним выколачивали яйца, держит один, другой выбивает, если разбилось, ему отдаёт, тот забирает.",f,,,,m,f,,,33.0,16.5
"[На Пасху] Жгли костры, там сецально заготовляли бочки смоляные, и вот там тоже в ямах там эти бочки всю ночь горели. Вот крестный-то ход ходил ведь кругом церкви-то так чтоб видно было. [Так на каждый праздник делали?] Нет, только на Пасху.",f,,,,m,f,,,2.0,4.0
"Вот, например, в первый день Паски, в Паску у каждой деревни свой празник. У нас как раз семь деревён здесь же было, и вот в самый первый общий празник, Паска вот, первый день Паски в Дьяковой, поп, вот часовенки, и поп ходит [...] с иконами и ходят по всей деревне, и в каждую избушку заходят. Вот в Павловой в первый день, во второй в Дьяковой, в Рубцовой, это в четверг, вот здесь [дер. Берег] в пятницу, и по всем деревням, там в суботу, и попы и все свешченники, кто есть, с иконами ходили по деревням. [В субботу] в Бутиной. [Фомин конец] в воскресенье, последний день Паски. [Попам и причту] Да, давали, они в избушки заходили, угощали. [Делали сыр, красили яйца]. [...]
А спецально, ну, спецально колоб такой. [...] Просто скоромное тесто, масло, сметана, мука, житная называлась, из ячменя, ну вот просто кусочек теста берут, но оно очень жирное, и вот так ешчо пальцы вот так [делали отпечаток пятерни]. Обязательно. И вот этот колоб обезательно попу давали. [...] [Яйцами бились?] Да. Я помню ешчо мужики, знаете, я слыхала, видать-то не видала, какой-то лоток устраивали и катали яйца. И вот у ково разобьётца, ну, значит, кто разобьёт, тот и битое яйцо берёт.",f,,,,m,,,,23.166666666666668,15.444444444444445
"На Пасху всё пекут: дак куличи, всякие пироги, калитки, чево-то готовят. На Страстной недели грехами щитали молоко кушать. Ни масло, ни молоко, ни творога - грех щитался.",f,,,,f,f,,,26.0,8.666666666666666
"[В головах умирающего] Свечку теперь стали ставить, а раньше никто ничего не ставил.",f,,,,m,f,,,10.0,10.0
"[Про ограду, обнаруженную нами в лесу]
Кладбище. Те, которые со Стряпкова. Со Стряпкова сюда. Было раньше. Оно старое.",m,,,,m,m,,,12.0,2.4
"А ещё в день Ивана Купалы на речке плели венки и бросали в воду, и который утонет, то год будет плохо, а который дальше, год будет счастливый. [Это кто тебе рассказал?] Ребята [С которыми юный информант купается].",m,,,,m,f,,,14.0,14.0
"Не в кажной день выгоняют [скот в первый раз на пастбище]. В суботу, во вторник, по-мойму даже. И чё говорят: ""С Богом. Поди с Богом. Еш травушку шелковую, пей водичку мёдовую"", - вот это говорят. Ну, и с Богом отправляют. Возьмут, нарежут кусочков. Помню, вот, мать нарежет хлеба, кусочков нарежет да и положит в решето. В решето положит, солью посолит, иконку положит и подёт выпускать коровушок. Обойдёт всех кругом, этих коровушок... [Икону тоже в решето?] Да, иконку положит, ножницы положит в решето и хлебушко так вот розрежет буханочку на кусочки и кажной даёт. Потом выпускаёт на волю их и там кусочками вот... ну, надо дать, штобы они ходили дружно. Той даёт и другой понюхать, а потом... штоб вместе ходили дружно. И оне* ходят, не бо*даюца на поскотине. Раньше веть один пастух пас.",f,,,,f,m,,,33.0,8.25
"У нас веть было, при моей жизни уже, вон у Серковой-то Нинки корову-то взяли - тогда я не поверила - рыжуху-то. Она корову взяла, нетель, потом она во хлеве бросалася, прямо так бросалася. Я ещё не поверила сначала. Потом пришли, ещё бабушка Клаша: ""Да ну, пойди, чё с коровой-то?"" Я зашла - она как бросилась, я еле оттуда, изо хлева убежала: у неё вот такие глаза, рога, она прямо рогами. Не подпускала, она вобще как зверь была. Они потом не смогли никак держать, пришлось менять - они пошли к директору, взяли другую корову. До сих пор вот держат. Не по двору. Чё-то не то было.",f,,,,f,m,,,102.0,10.2
Перву борозду уже мущины делали.,f,,,,m,m,,,5.0,5.0
"Там ездили на лодке дядя Саша Мамонтов, тёть Надя Мамонтова - они видели, ещё там на камне она сидела, рощясывала волосы.",f,,,,m,m,,,21.0,21.0
"[Если корова доилась с кровью, доили через кольцо?] Обязательно, только чцерез золотое. Штоб обручальное было на руке кольцо, носила всё время, и снимаеш... доили.",f,,,,m,m,,,8.0,5.333333333333333
"[Если человек] много знает, он ведун - он должен [перед смертью] передать што-то другому, который у него согласен взять на себя это... ево тайну. Вот ты же помниш [обращается к САА], Вася Ганин-то умирал - вот он нашево дедка звал, штобы он к нему пришол. Я не знаю - он не пошёл, он помирал плохо.",m,,,,m,m,,,46.0,11.5
[Святочные бесчинства:] Капостят.,f,,,,m,m,,,1.0,1.0
"Не первый венец, празновали, когда вот князевое говорят. [Когда крышу закрыли?] Ну, не крышу, а бревно последнее. Оно сначала бревно ложитсе, а крыша потом сверху покрывается. [Где праздновали?] Конешно, где строят.",m,,,,f,m,,,8.666666666666666,6.5
"У меня вот в Кировске бабушка живёт. У неё есть старая-старая знакомая. Но она уехала в Белоруссию. И до этого она мне заговаривала [печень]. Значит, что-то там стоит, около меня крутится. Потом, знаете, берёт стакан, туда три яйца разбивает и начинает вот так вот болтать. Узнаёт, какие у меня враги есть. Сколько пузырей больших столько и врагов.",f,,,,f,,,,59.0,7.375
"[Как кровь останавливали?]
""Кровь раба божьего таково-то таково, остановись"". Плюнет три раза, перекрестит и ещё там чо-то так делают.",m,,,,f,f,,,8.0,8.0
"Здесь это церковь-то была. Эка большая, беленькая, красивая, а додумались тоже, что кирпиць хороший. Так этот кирпиць-от еле вороцали - уже он, наверно, сделано дак на век свой. Оно бы никогда, только бы его подбеливать и всё. А ни дождика и ничего-то не боялись. Но кое-как-от этот кирпиць стали разбирать-то, кое-как, коворят, с большим с трудом. А потом из кирпиця-от сделали как для коров двор. И в этом дворе - ниц'его - ни молока, и коровы стали дохнуть и всё ликвидировалось. Не показано.",f,,,,m,f,,,82.0,9.11111111111111
"[Как называли менструацию?] Месячны, говорили на себе уж носит.",f,,,,f,,,,3.0,6.0
"Раньше на рубаху найдёт, менструация - это на рубаху найдёт.",f,,,,f,f,,,11.0,11.0
[Можно ли беременной в лет ходить?] Медведь ещё завалит.,f,,,,f,f,,,1.5,3.0
"[Беременной] Пинать нельзя [собаку, кошку]. Говорят собаку пинаешь, дак со щетиной родица, как у поросёнка щетина будет, будет плакать. Эту щетину-то выводит, а тесто, говорят, намешают таково пресного теста и вот оно вот высохнет, это тесто на щетинах и выводица эта.",f,,,,f,f,,,39.0,13.0
"Говорят, родился в рубашке [в пузыре рождается ребёночек].",m,,,,f,f,,,4.0,4.0
"[В Челмогорском монастыре в церкви стоял крест.] В церкви. Под полом. Под полом... всё сгорело, а под полом крестик осталсэ. Новый... как новый. [...] А церковь сгорела [в 1950-х гг.] [Крест стоял под полом?] Под полом, под мостом. [Почему он там стоял?] А не знаю, кто ево знает, почему... Всё сгорело, а крестик остался там.",f,,,,m,m,,,6.0,3.6
"[Кто такой св. Кирилл Челмогорский?] Он был угодник, дак я не знаю цёго. Я тоже ни [нрзб.] слыхала от старых-то* людей дак, а так я ницё про его не знаю. [Что вы слыхали от старых людей?] Дак вот ён там жил в кельи, да потом, я не знаю, цёго ён, куды ёго, как, цёго тут... кака-то, говоря, вроди нециста сила тце*пями ёго ладила стянуть из кельи-то откуда-то, да эти тцепи сорвалисе, и оне пали туды под гору в озеро и все потонули. А ён эдак вот где ён, цёго с йим зделалоси - не знаю ницёго, робята, я. На э*том мести камни, камни, яма, но така вот яма да камни. [Как его звали?] Кирила Чёрмогорской",f,,,,m,m,,,21.4,13.375
